Year-Month,Category,Region,Segment,Sales,Profit,Orders,Avg_Discount,Avg_Days_to_Ship
2014-01,Furniture,Central,Consumer,364.398,-18.825300000000006,3,0.19999999999999998,5.666666666666667
2014-01,Furniture,Central,Corporate,141.96,39.7488,1,0.0,3.0
2014-01,Furniture,East,Consumer,137.044,31.6798,2,0.1,2.5
2014-01,Furniture,East,Corporate,61.96,-53.2856,1,0.5,1.0
2014-01,Furniture,South,Consumer,1677.728,327.30060000000003,4,0.05,4.25
2014-01,Furniture,South,Corporate,51.94,21.2954,1,0.0,5.0
2014-01,Furniture,South,Home Office,2649.06,781.6608,3,0.0,4.666666666666667
2014-01,Furniture,West,Consumer,1158.435,-324.10799999999995,5,0.24,3.8
2014-01,Office Supplies,Central,Consumer,703.608,148.7872,12,0.10833333333333334,5.25
2014-01,Office Supplies,Central,Corporate,10.68,5.0196,1,0.0,3.0
2014-01,Office Supplies,Central,Home Office,288.06,-65.9901,3,0.4000000000000001,4.0
2014-01,Office Supplies,East,Consumer,112.97,13.299400000000002,6,0.3666666666666667,4.5
2014-01,Office Supplies,South,Consumer,52.93,19.418300000000002,3,0.0,6.0
2014-01,Office Supplies,South,Corporate,723.3840000000001,22.953899999999994,7,0.09999999999999999,2.857142857142857
2014-01,Office Supplies,South,Home Office,1179.16,296.96139999999997,7,0.0,4.428571428571429
2014-01,Office Supplies,West,Consumer,1715.424,342.0145,10,0.11000000000000001,3.7
2014-01,Office Supplies,West,Corporate,64.864,6.4864,1,0.2,3.0
2014-01,Technology,Central,Consumer,31.2,9.75,1,0.2,4.0
2014-01,Technology,East,Consumer,124.2,-31.05,1,0.4,2.0
2014-01,Technology,South,Consumer,849.8799999999999,247.95979999999997,2,0.0,4.0
2014-01,Technology,South,Corporate,646.74,258.696,1,0.0,2.0
2014-01,Technology,South,Home Office,1491.27,370.4178,4,0.0,4.5
2014-02,Furniture,Central,Consumer,418.99,57.1709,3,0.19999999999999998,2.6666666666666665
2014-02,Furniture,Central,Corporate,20.32,6.9088,1,0.0,6.0
2014-02,Furniture,South,Consumer,1256.22,75.3732,1,0.0,4.0
2014-02,Furniture,West,Consumer,129.568,-24.294,1,0.2,6.0
2014-02,Furniture,West,Home Office,14.56,5.5328,1,0.0,1.0
2014-02,Office Supplies,Central,Consumer,251.29,6.501900000000003,11,0.34545454545454546,4.7272727272727275
2014-02,Office Supplies,Central,Home Office,11.364,-4.522500000000001,2,0.5,4.0
2014-02,Office Supplies,East,Consumer,19.456,3.4048,1,0.2,4.0
2014-02,Office Supplies,East,Corporate,64.96,9.744,1,0.0,3.0
2014-02,Office Supplies,South,Consumer,35.796,-4.017799999999999,2,0.35,5.5
2014-02,Office Supplies,South,Corporate,15.0,7.2,1,0.0,3.0
2014-02,Office Supplies,West,Consumer,172.224,59.6819,5,0.16,4.0
2014-02,Office Supplies,West,Corporate,359.188,40.967,4,0.1,4.0
2014-02,Office Supplies,West,Home Office,142.446,57.1317,4,0.05,4.0
2014-02,Technology,Central,Consumer,468.9,206.316,1,0.0,2.0
2014-02,Technology,Central,Corporate,62.31,22.4316,1,0.0,6.0
2014-02,Technology,East,Corporate,115.36,49.6048,1,0.0,5.0
2014-02,Technology,South,Consumer,415.40999999999997,116.73,2,0.1,5.5
2014-02,Technology,South,Corporate,306.56,84.0541,2,0.0,3.0
2014-02,Technology,West,Corporate,239.97,86.3892,1,0.0,4.0
2014-03,Furniture,Central,Consumer,2877.872,-124.07400000000001,5,0.3,4.6
2014-03,Furniture,Central,Home Office,761.418,-181.2102,2,0.3,3.0
2014-03,Furniture,East,Consumer,375.106,67.4944,2,0.15000000000000002,6.0
2014-03,Furniture,East,Corporate,3567.6800000000003,-1323.6408999999999,4,0.42500000000000004,4.25
2014-03,Furniture,East,Home Office,330.588,-143.2548,1,0.4,6.0
2014-03,Furniture,South,Consumer,1422.5120000000002,99.2926,4,0.2,3.0
2014-03,Furniture,South,Corporate,25.008,6.8772,2,0.2,2.0
2014-03,Furniture,South,Home Office,1293.04,308.35060000000004,3,0.13333333333333333,5.0
2014-03,Furniture,West,Consumer,1378.7779999999998,35.9431,5,0.15,4.0
